Latitud,Longitud,Título
26.93348226,-101.325195,San Jose_b
26.79171268,-101.4265567,Castaños
26.47591289,-101.2216236,La Joya
25.80014597,-101.0883738,Mesillas
26.11893341,-100.2277215,Mamuliqui
25.44881027,-101.7667,Castañuela
26.22918425,-99.48561667,General Treviño
25.77306774,-99.54601654,Loma
25.92671209,-99.18931627,Doctor Coss
30.96074382,-95.88263016,Trinidad
27.588333,-105.335278,Conchos
27.588333,-105.335278,Conchos
30.05760214,-94.81248714,Atacosita
-25.090907,-57.52696734,Villa Hayes
28.75869744,-109.0113236,San Ildefonso
28.2742958,-109.1518349,Potrero
30.45292098,-110.0227183,Basochuca
5.371524356,-76.60864006,Certegui
-13.77092072,-72.19034723,Churoc
-13.90869134,-71.84689408,Chiriguani
-15.3940378,-71.71805429,Sani
-13.50682809,-71.65550758,Catani
24.869985,-103.697968,Cuencame
-14.60411762,-74.27304576,Vado
-13.82553248,-73.96408394,Chincheros
-13.03342168,-68.01641402,Santiago de Pacaguara
-15.31184997,-68.21869103,Mapiri
-15.46675288,-68.45068848,Hucsumane
-12.60779257,-67.09733223,Cavinas
-14.69630464,-69.1008773,Queara
-15.04919635,-69.22383695,Ucho Ucho
-15.67421388,-67.126057,San Francisco de Mosetenes
-14.81772152,-69.33512973,Suches
28.24182792,-106.8373572,Cusihuiriachi
-14.81089774,-68.72478085,Suchulani
4.846131977,-74.62206022,San Juan de Rioseco
4.860622561,-74.90994223,Peladeros
4.860622561,-74.90994223,Peladeros
9.945240398,-74.77983885,Playa Blanca
10.2233889,-73.16429606,Tocaimo
10.18896499,-74.91436928,Pedraza
9.607716671,-73.30000009,Tucuy
9.621041392,-73.59263622,Calenturas
11.44364264,-73.06217269,Camarones
25.932659,-105.956528,Guanacevi
9.164844019,-75.59112301,Pinchorroy
7.839190962,-75.85378758,San Cipriano
7.792886072,-75.53505846,Ure
8.022004219,-75.72942093,Soledad
10.14789518,-75.27806807,Sincerin
10.40077,-75.55332,San Lazaro
